fid,NVRID,NAMN,SKYDDSTYP,BESLSTATUS,URSBESLDAT,IKRAFTDATF,URSGALLDAT,SENGALLDAT,TILLSYNSMH,PROVNMHDIS,PROVNMHTIL,LAN,KOMMUN,IUCNKAT,FORVALTARE,AREA_HA,LAND_HA,VATTEN_HA,SKOG_HA,GEOSTATUS,DIARIENR,LAGRUM,BESLMYND
1,"2001142",Vidingsöra,Naturreservat,Gällande,1975/02/26,,1975/03/26,1975/03/26,,,,Stockholms Län,Norrtälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Skärgårdsstiftelsen i Stockholms län,21.185,20.72,0.5,9.99,Justerad mot fastighetskarta,11.121-127-73  0188-02-031,Naturvårdslagen,Länsstyrelse
2,"2000139",Molnsättra,Naturreservat,Gällande,1987/04/22,,1987/07/01,1987/07/01,,,,Stockholms Län,"Järfälla, Sollentuna","Ia, Strikt naturreservat (Strict Nature Reserve)",Peder Bertilsson Lilliehöök,72.29,58.66,13.72,20.92,Justerad mot fastighetskarta,11.1211-735-86   0123-02-002,Naturvårdslagen,Länsstyrelse
3,"2054325",Lohärads Prästgård,Naturreservat,Gällande,2022/03/14,,2022/04/13,2022/04/13,,,,Stockholms Län,Norrtälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,15.172,15.15,0,11.43,Slutligt inmätt,5112-64444-2020,Miljöbalken,Länsstyrelse
4,"2002297",Huvudskär,Naturreservat,Gällande,1974/03/11,,1974/04/08,1995/08/31,,,,Stockholms Län,Haninge,"Ia, Strikt naturreservat (Strict Nature Reserve)",Skärgårdsstiftelsen i Stockholms län,2076.494,80.8,1995.81,0.25,Justerad mot fastighetskarta,"231-1993-7418, 0136-02-007",Naturvårdslagen,Länsstyrelse
5,"2002888",Broängarna,Naturreservat,Gällande,2004/08/23,,2004/09/20,2004/09/20,,,,Stockholms Län,Upplands-Bro,"Ia, Strikt naturreservat (Strict Nature Reserve)",Novus AB,274.818,93.59,181.24,8.51,Justerad mot fastighetskarta,2004-195,Miljöbalken,Kommun
6,"2000885",Angödrommen,Naturreservat,Gällande,1957/06/20,,1957/07/18,1992/12/28,,,,Stockholms Län,Värmdö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,5.236,4.96,0.29,0.03,Justerad mot fastighetskarta,"231-1991-985, 0120-02-004",Naturvårdslagen,Länsstyrelse
7,"2014285",Ekebysjön,Naturreservat,Gällande,2008/09/29,,2009/01/09,2009/01/09,,,,Stockholms Län,Danderyd,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Danderyds kommun,41.608,35.11,6.45,19.07,Justerad mot fastighetskarta,KS 2006/0151,Miljöbalken,Kommun
8,"2020026",Brännström,Naturreservat,Gällande,2009/11/27,,2010/01/04,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,62.622,62.62,0,57.58,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
9,"2001392",Gömmaren,Naturreservat,Gällande,,,,2010/07/26,,,,Stockholms Län,Huddinge,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Huddinge kommun,765.927,745.02,20.93,536.73,Ospecificerad,511-2010-9586,Miljöbalken,Kommun
10,"2000160",Kålsö,Naturreservat,Gällande,1992/11/10,,1993/02/01,2021/05/12,,,,Stockholms Län,Södertälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,204.975,155.35,49.64,56.57,Justerad mot fastighetskarta,,Miljöbalken,Länsstyrelse
11,"2000831",Linkudden,Naturreservat,Gällande,1969/09/23,,1969/10/21,2021/05/12,,,,Stockholms Län,Norrtälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Norrtälje kommun,17.92,14.55,3.4,8.57,Justerad mot fastighetskarta,,Miljöbalken,Länsstyrelse
12,"2055442",Koffertberget,Naturreservat,Gällande,2021/06/02,,2021/07/01,2021/07/01,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,29.189,29.18,0,23.06,Slutligt inmätt,511-60137-2020,Miljöbalken,Länsstyrelse
13,"2000630",Stensholmen,Naturreservat,Gällande,1971/01/19,,1971/02/16,1996/08/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Skärgårdsstiftelsen i Stockholms län,46.485,17.59,28.93,13.91,Justerad mot fastighetskarta,"231-1996-93, 0188-02-014",Naturvårdslagen,Länsstyrelse
14,"2002726",Ekoberget,Naturreservat,Gällande,1946/09/11,,1946/10/09,2026/04/15,,,,Stockholms Län,Nacka,"III, Naturmonument (Natural Monument)",Länsstyrelsen i Stockholms län,2.971,2.99,0,1.02,Justerad mot fastighetskarta,511-62164-2025,Miljöbalken,Länsstyrelse
15,"2000150",Borntorp,Naturreservat,Gällande,2000/09/04,,2000/10/19,2026/04/15,,,,Stockholms Län,Norrtälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,15.512,15.48,0.01,15.4,Justerad mot fastighetskarta,511-62164-2025,Miljöbalken,Länsstyrelse
16,"2000014",Hörningsnäs,Naturreservat,Gällande,1994/11/28,,1995/04/05,1995/04/05,,,,Stockholms Län,Botkyrka,"Ia, Strikt naturreservat (Strict Nature Reserve)",Botkyrka kommun,10.119,10.07,0,9.43,Justerad mot fastighetskarta,Botkyrka kommun 1994.168.43,Naturvårdslagen,Kommun
17,"2000147",Björinge,Naturreservat,Gällande,1999/07/09,,1999/09/14,2026/04/15,,,,Stockholms Län,Norrtälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,53.318,53.3,0.02,42.95,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
